         6384841 function calls (6246808 primitive calls) in 1127.106 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.011    0.004    0.011    0.004 {built-in method _ctypes.dlopen}
        1    0.000    0.000    0.011    0.011 colors.py:40(<module>)
        1    0.000    0.000    0.011    0.011 _discrete_distns.py:5(<module>)
    46320    0.011    0.000    0.011    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.010    0.010 pyparsing.py:75(<module>)
     2184    0.003    0.000    0.010    0.000 inspect.py:535(_finddoc)
        2    0.000    0.000    0.010    0.005 utils.py:9(<module>)
 5997/966    0.008    0.000    0.010    0.000 sre_parse.py:174(getwidth)
       19    0.000    0.000    0.010    0.001 _distn_infrastructure.py:2959(__init__)
    35757    0.010    0.000    0.010    0.000 {method 'insert' of 'list' objects}
      123    0.001    0.000    0.010    0.000 _distn_infrastructure.py:713(_construct_argparser)
    19888    0.005    0.000    0.010    0.000 version.py:98(_compare)
     1083    0.010    0.000    0.010    0.000 {built-in method posix.listdir}
     6960    0.006    0.000    0.010    0.000 posixpath.py:75(join)
        1    0.000    0.000    0.009    0.009 magic.py:3(<module>)
       65    0.005    0.000    0.009    0.000 enum.py:140(__new__)
        1    0.000    0.000    0.009    0.009 table.py:25(<module>)
      906    0.001    0.000    0.009    0.000 __init__.py:2053(<genexpr>)
     3095    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.009    0.009 core.py:12(<module>)
        1    0.000    0.000    0.009    0.009 defaults.py:6(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:16(<module>)
        2    0.000    0.000    0.009    0.005 core.py:193(read_style_directory)
        1    0.000    0.000    0.009    0.009 crashhandler.py:8(<module>)
15192/15171    0.006    0.000    0.009    0.000 abstract.py:117(__hash__)
      413    0.009    0.000    0.009    0.000 {built-in method builtins.compile}
      118    0.000    0.000    0.009    0.000 __init__.py:2977(_reload_version)
        1    0.000    0.000    0.009    0.009 loader.py:2(<module>)
    87453    0.007    0.000    0.009    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.009    0.002 __init__.py:8(<module>)
     1264    0.001    0.000    0.009    0.000 __init__.py:623(__setitem__)
        1    0.000    0.000    0.009    0.009 report.py:8(<module>)
        1    0.000    0.000    0.009    0.009 dataset_adapter.py:63(<module>)
      123    0.000    0.000    0.009    0.000 _distn_infrastructure.py:631(__init__)
    13262    0.002    0.000    0.009    0.000 version.py:82(__eq__)
    35600    0.009    0.000    0.009    0.000 numeric.py:1467(<listcomp>)
        1    0.000    0.000    0.009    0.009 knowledge.py:14(<module>)
        1    0.000    0.000    0.009    0.009 ultratb.py:81(<module>)
      118    0.000    0.000    0.009    0.000 __init__.py:2768(_get_version)
        1    0.000    0.000    0.009    0.009 _secondary_axes.py:1(<module>)
       28    0.000    0.000    0.009    0.000 __init__.py:837(rc_params_from_file)
      118    0.000    0.000    0.009    0.000 __init__.py:2546(_version_from_file)
        1    0.000    0.000    0.009    0.009 __init__.py:2275(class_factory)
     3616    0.002    0.000    0.008    0.000 __init__.py:2067(dist_factory)
       26    0.000    0.000    0.008    0.000 pyparsing.py:2779(__init__)
     1712    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1645    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.008    0.008 ir_utils.py:6(<module>)
      434    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
        3    0.000    0.000    0.008    0.003 misc.py:1(<module>)
     1450    0.008    0.000    0.008    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.008    0.008 _minimize.py:8(<module>)
        3    0.000    0.000    0.008    0.003 exceptions.py:1(<module>)
       91    0.000    0.000    0.008    0.000 traitlets.py:804(__init__)
